Hail ID,Date/Time,Latitude,Longitude,Hail size,
590,1995-11-18 07:30:00,-35.5000,146.7000,4.2,
591,1995-11-29 06:25:00,-32.7300,151.5600,4.2,
592,1995-11-30 06:00:00,-35.6700,147.8700,4.2,
593,1995-11-30 06:00:00,-34.8200,147.2000,4.2,
594,1995-12-05 06:00:00,-31.9500,151.7900,2.2,
595,1995-12-10 05:00:00,-31.0300,150.2700,3.5,
596,1995-12-15 05:45:00,-34.5500,150.5300,4.2,
597,1995-12-16 04:25:00,-32.9000,151.4800,4.0,
598,1995-12-16 06:00:00,-32.9300,151.7700,4.2,
599,1995-12-16 06:30:00,-28.8200,153.3200,5.0,
600,1995-12-16 10:30:00,-29.3000,151.9700,2.5,
601,1995-12-18 04:05:00,-30.3300,149.7800,4.0,
602,1995-12-18 04:30:00,-29.7700,151.1200,4.0,
603,1995-12-18 04:40:00,-30.8000,151.4300,4.5,
604,1995-12-27 02:40:00,-33.8200,150.0300,2.7,
605,1995-12-27 04:25:00,-34.4900,150.4000,5.0,
606,1995-12-27 06:00:00,-29.5800,149.2300,5.0,
607,1995-12-27 08:59:00,-31.2600,151.0200,3.5,
608,1995-12-28 03:25:00,-30.4500,152.9000,5.0,
609,1995-12-28 04:00:00,-29.6800,152.9300,9.0,
610,1995-12-28 05:15:00,-29.0800,152.9500,6.3,
611,1996-01-15 07:00:00,-32.9700,150.6700,2.2,
612,1996-01-18 09:00:00,-34.6800,149.5700,2.5,
613,1996-02-05 05:05:00,-33.4300,151.3400,4.2,
614,1996-02-05 05:55:00,-32.8000,151.8000,4.2,
615,1996-02-05 06:25:00,-30.7200,151.5300,2.0,
616,1996-02-05 06:30:00,-32.9200,151.7800,6.0,
617,1996-02-05 06:40:00,-33.7000,150.5700,4.0,
618,1996-02-05 07:00:00,-33.8300,150.8700,5.0,
619,1996-02-05 08:00:00,-29.8000,151.1200,4.2,
620,1996-02-28 08:00:00,-33.7200,149.7800,2.2,
621,1996-03-04 04:15:00,-35.1500,149.3700,2.0,
622,1996-03-04 05:30:00,-32.3700,149.9500,3.0,
624,1996-03-05 08:15:00,-35.2500,147.3400,4.0,
625,1996-04-11 04:40:00,-33.1800,151.4800,2.0,
626,1996-04-27 06:45:00,-30.8200,152.5100,2.0,
627,1996-05-13 11:07:00,-30.0700,151.5200,2.0,
628,1996-09-29 01:00:00,-32.3700,149.9500,2.0,
629,1996-09-29 01:10:00,-32.2100,148.5700,2.5,
630,1996-09-29 03:30:00,-32.1200,149.0300,4.0,
631,1996-09-29 03:30:00,-32.0000,148.7300,4.0,
632,1996-09-29 04:10:00,-32.3200,150.7600,4.0,
633,1996-09-29 04:40:00,-32.6700,152.1700,3.0,
634,1996-09-29 05:00:00,-32.7200,151.6500,6.0,
635,1996-09-29 05:00:00,-29.9800,147.0500,3.5,
636,1996-09-29 05:20:00,-32.6500,149.6200,2.7,
637,1996-09-29 05:20:00,-30.3800,151.7500,8.0,
638,1996-09-29 05:30:00,-30.7200,151.6700,7.0,
639,1996-09-29 06:15:00,-31.2700,149.0700,3.0,
640,1996-09-29 07:07:00,-29.6200,149.3800,6.0,
641,1996-09-29 11:50:00,-30.7200,152.9200,6.0,
642,1996-09-29 12:30:00,-30.3400,151.7200,4.0,
643,1996-10-28 05:00:00,-29.6500,152.8200,4.5,
644,1996-11-17 04:50:00,-32.4800,149.5000,2.0,
645,1996-11-17 05:00:00,-34.3200,148.3400,4.0,
646,1996-11-17 05:00:00,-34.7500,148.3300,4.0,
647,1996-11-24 03:00:00,-30.3000,150.8200,2.0,
648,1996-11-24 03:00:00,-29.7000,151.6900,2.0,
649,1996-12-06 05:30:00,-29.0800,148.6000,2.0,
650,1996-12-06 06:25:00,-31.2800,149.2800,2.5,
651,1996-12-10 07:45:00,-28.6200,153.0000,2.0,
652,1996-12-11 03:00:00,-33.7000,150.5600,3.5,
653,1996-12-11 03:30:00,-34.6500,150.3100,3.0,
654,1996-12-11 05:30:00,-32.5700,151.1600,7.0,
655,1996-12-11 08:30:00,-28.6200,153.0000,2.0,
656,1996-12-30 00:30:00,-31.2800,149.2800,2.0,
657,1996-12-30 02:15:00,-30.9700,151.3400,2.0,
658,1996-12-31 06:30:00,-28.7700,153.5300,3.0,
659,1997-01-07 02:00:00,-35.4500,149.6700,5.0,
660,1997-01-07 02:00:00,-35.2500,149.4500,5.0,
661,1997-03-02 05:35:00,-32.5900,149.5800,3.0,
662,1997-03-02 06:35:00,-32.3700,149.9500,2.5,
663,1997-03-02 07:00:00,-32.9400,151.1400,3.0,
664,1997-03-23 07:00:00,-34.1800,150.6200,4.0,
665,1997-03-30 06:00:00,-31.8800,152.3600,3.0,
666,1997-03-30 06:30:00,-29.8400,152.3700,4.0,
667,1997-04-24 08:30:00,-33.3000,151.6000,5.0,
668,1997-04-24 16:00:00,-32.8000,151.9000,2.5,
669,1997-09-05 01:45:00,-31.9500,151.7900,2.0,
670,1997-09-20 03:00:00,-33.7300,151.0100,4.0,
671,1997-09-20 03:45:00,-30.0000,150.8000,6.0,
672,1997-09-20 06:19:00,-29.6800,152.9300,2.0,
673,1997-11-12 04:30:00,-31.8800,152.3600,6.0,
674,1997-11-12 04:35:00,-33.4600,150.9900,7.0,
675,1997-11-12 05:45:00,-33.0900,151.6300,2.0,
676,1997-11-12 05:50:00,-33.1500,151.5300,2.0,
677,1997-11-12 06:02:00,-33.1100,151.6500,2.0,
678,1997-11-12 08:15:00,-29.6800,152.9300,7.0,
679,1997-11-15 07:49:00,-33.1800,151.4800,2.5,
680,1997-11-15 07:50:00,-33.1500,151.5300,2.0,
681,1997-11-15 08:15:00,-33.1300,151.6500,2.0,
682,1997-11-16 02:30:00,-29.6800,152.9300,7.0,
683,1997-11-27 05:05:00,-30.4300,152.3300,2.0,
684,1997-11-30 05:00:00,-28.8100,153.2600,4.0,
685,1997-11-30 05:30:00,-28.8600,153.5700,5.0,
686,1997-12-19 04:00:00,-33.6400,151.2900,5.0,
687,1997-12-19 04:20:00,-32.5900,149.5800,2.0,
688,1997-12-19 06:00:00,-31.0900,150.7700,4.0,
689,1997-12-19 07:30:00,-30.1200,149.3200,3.0,
